Survey ID,Age,Gender,Marital Status,Education,Occupation,Income,Area,Cash Over E Money,Bank Account,Have E-Wallet,Use E-Wallet,E-Wallet Name,E-Wallet Usage Purpose,E-Wallet Usage Reason,Scam or Security reasons,Internet instability or unavailability,Lack of interest,Lack of knowledge,User Satisfaction,Non-Satisfaction Reason,Usage Continuation,Finance Management,General Lack of Trust,E-wallet usage medium
13,18 - 30,Female,Single,Bachelors,Health Sector,Medium,Urban area,No,Yes,Yes,Yes,"Jazzcash, Askari bank mobile banking ","To send or/and receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
14,31 - 50,Male,Single,Masters/ M.Phil,"Corporate Sector, Business",High,Urban area,No,Yes,Yes,No,Nayapay,Not Applicable,Convenience,No,No,Yes,No,Yes,Lack of interest,Maybe,Maybe,Yes,Mobile Application
15,Above 50,Female,Married,Masters/ M.Phil,"Education Sector, Homemaker",High,Urban area,Yes,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,Yes,Not applicable,"Scam or security reasons, Lack of knowledge, Lack of interest",Not applicable,Not applicable,Yes,Without Mobile Application
16,18 - 30,Female,Single,Bachelors,Health Sector,Medium,Urban area,Maybe,Yes,Yes,Yes,Easypaisa,"To send or/and receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
17,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Low,Urban area,No,Yes,Yes,Yes,"Easypaisa, Sadapay","To send or/and receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Mobile Application
18,31 - 50,Male,Single,Bachelors,Corporate Sector,High,Urban area,Yes,Yes,Yes,Yes,Jazzcash,Online shopping,Convenience,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Mobile Application
19,Above 50,Female,Widow/ Widower,Intermediate/ A-Levels,Business,Low,Rural area,Yes,Yes,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Advantage of liquid money: readily accessible ,Not applicable,Not applicable,No,Without Mobile Application
20,Above 50,Male,Married,Diploma,Business,High,Urban area,Maybe,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send or/and receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Mobile Application
21,Above 50,Male,Married,Matriculation/ O-Levels,Corporate Scetor,High,Urban area,No,Yes,No,No,Online transactions ,"To send or/and receive money, Online shopping, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
22,Above 50,Male,Married,Matriculation/ O-Levels,Business,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","To send or/and receive money, Bill payments",Easy to use,No,No,No,No,No,"Lack of knowledge, Fear of hidden charges",Maybe,Maybe,Yes,Mobile Application
23,Above 50,Female,Married,Matriculation/ O-Levels,Homemaker,Low,Urban area,Yes,Yes,Yes,Yes,Easypaisa,Recharge or package activation,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,No,Mobile Application
24,31 - 50,Female,Single,Masters/ M.Phil,Government Sector,High,Urban area,No,Yes,No,No,Not applicable,"To send or/and receive money, Online shopping, Bill payments, Recharge or package activation",Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Mobile Application
25,31 - 50,Male,Single,Masters/ M.Phil,Corporate Sector,Medium,Urban area,No,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Maybe,No,Maybe,Mobile Application
26,18 - 30,Male,Single,Masters/ M.Phil,Corporate Sector,Medium,Urban area,Maybe,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
27,31 - 50,Male,Married,Masters/ M.Phil,Corporate Sector,Medium,Urban area,Maybe,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,Maybe,Yes,Mobile Application
28,31 - 50,Male,Single,Bachelors,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
29,31 - 50,Male,Single,Masters/ M.Phil,Corporate Sector,Medium,Urban area,No,Yes,No,No,Not applicable,"To send money, To receive money",Easy to use,No,No,No,No,No,Not applicable,Not applicable,Yes,Yes,Mobile Application
30,31 - 50,Male,Married,Masters/ M.Phil,Corporate Sector,High,Urban area,No,Yes,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Lack of interest,Not applicable,Not applicable,No,Not Applicable
31,31 - 50,Male,Married,Masters/ M.Phil,Corporate Sector,High,Rural area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
32,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Rural area,Maybe,Yes,Yes,,Jazzcash,Bill payments,Service quality,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Mobile Application
33,18 - 30,Male,Married,Bachelors,Health Sector,Medium,Rural area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money",Easy to use,Yes,Yes,No,No,Yes,"Scam or security reasons, Internet instability or unavailability, Fear of hidden charges",Yes,Yes,Maybe,Mobile Application
34,18 - 30,Female,Married,Bachelors,Homemaker,Medium,Urban area,Yes,No,Yes,No,Jazzcash,Bill payments,Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Not applicable,Maybe,Yes,Mobile Application
35,31 - 50,Female,Married,Bachelors,Student,Low,Urban area,No,Yes,Yes,Yes,Easypaisa,Bill payments,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
36,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,No,No,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
37,31 - 50,Male,Married,Masters/ M.Phil,Corporate Sector,Medium,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
38,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Urban area,Maybe,Yes,Yes,Yes,Bank Account ,Different Uses,Now a days it's important,No,No,No,No,Yes,Not applicable,Maybe,Maybe,Yes,Mobile Application
39,Below 18,Female,Single,Matriculation/ O-Levels,Student,Low,Urban area,Yes,Yes,No,Yes,Easypaisa,"To receive money, ",Easy to use,No,No,No,No,Yes,Lack of knowledge,Yes,Yes,Yes,Mobile Application
40,31 - 50,Male,Married,Bachelors,"Corporate Sector, Business",High,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,No,Yes,Mobile Application
41,18 - 30,Male,Single,Bachelors,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,"Sadapay, Nayapay","To send money, To receive money, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
42,18 - 30,Male,Single,Bachelors,Student,Low,Urban area,No,Yes,Yes,Yes,Easypaisa,"To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Yes,Mobile Application
43,31 - 50,Female,Married,Masters/ M.Phil,Health Sector,Medium,Urban area,Yes,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not applicable
44,18 - 30,Female,Single,Bachelors,Corporate Sector,Low,Urban area,No,Yes,Yes,Yes,Easypaisa,To send money,Accessibility,No,No,No,No,Yes,Internet instability or unavailability,Yes,Yes,Maybe,Mobile Application
45,31 - 50,Female,Single,Masters/ M.Phil,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
46,18 - 30,Male,Single,Bachelors,Unemployed,Low,Rural area,No,Yes,Yes,Yes,"Easypaisa, Sadapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Maybe,No,No,Mobile Application
47,18 - 30,Female,Divorced,Matriculation/ O-Levels,Business,Medium,Urban area,Maybe,Yes,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Mobile Application
48,18 - 30,Female,Single,Masters/ M.Phil,Business,High,Rural area,No,Yes,No,No,Not applicable,Not Applicable,Not applicable,Yes,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not Applicable
49,18 - 30,Female,Single,Masters/ M.Phil,"Education Sector, Student",Medium,Urban area,No,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Internet instability or unavailability,Yes,Yes,Maybe,Mobile Application
50,31 - 50,Female,Married,Masters/ M.Phil,Education Sector,Medium,Urban area,Yes,Yes,No,Yes,Easypaisa,To send money,Accessibility,No,No,No,No,Yes,Internet instability or unavailability,Yes,Yes,No,Mobile Application
51,18 - 30,Female,Single,Bachelors,Corporate Sector,Medium,Urban area,Maybe,Yes,Yes,Yes,Jazzcash,All,Easy to use,No,No,No,No,Yes,Internet instability or unavailability,Maybe,Maybe,Maybe,Mobile Application
52,31 - 50,Male,Married,Bachelors,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,Jazzcash,Recharge or package activation,Convenience,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
53,18 - 30,Female,Single,Bachelors,Student,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping",Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,No,No,Mobile Application
54,18 - 30,Female,Married,Bachelors,Student,Medium,Urban area,Yes,Yes,Yes,Yes,Easypaisa,"To send money, To receive money, Recharge or package activation",Easy to use,Yes,No,No,No,No,"Scam or security reasons, Operational constraint, Fear of hidden charges",Yes,No,Yes,Mobile Application
55,18 - 30,Female,Single,Bachelors,Education Sector,Low,Rural area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Recharge or package activation",Easy to use,No,No,No,No,Yes,Lack of interest,Maybe,Maybe,Maybe,Mobile Application
56,31 - 50,Female,Married,Masters/ M.Phil,Education Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Easypaisa,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
57,18 - 30,Male,Single,Bachelors,Student,Low,Urban area,Yes,Yes,Yes,Yes,"Jazzcash, Nayapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,No,Inconvenience,Yes,Yes,No,Mobile Application
58,18 - 30,Female,Single,Bachelors,Homemaker,Low,Urban area,Yes,No,Yes,Yes,"Jazzcash, Nayapay","To send money, To receive money, Online shopping, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
59,18 - 30,Male,Married,Bachelors,Business,Medium,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,Yes,Yes,No,No,Yes,"Scam or security reasons, Internet instability or unavailability, Operational constraint",Yes,Yes,Yes,Mobile Application
60,18 - 30,Male,Single,Bachelors,Student,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay, Zindagi","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Service quality,No,Yes,No,No,Yes,"Lack of interest, Fear of hidden charges",Yes,Yes,Maybe,Mobile Application
61,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,Medium,Rural area,Maybe,Yes,Yes,Yes,Easypaisa,"To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Mobile Application
62,18 - 30,Male,Single,Bachelors,Business,High,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Scam or security reasons,Maybe,Yes,Maybe,Mobile Application
63,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,"Scam or security reasons, Internet instability or unavailability, Operational constraint, Fear of hidden charges",Yes,Yes,Yes,Mobile Application
64,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,To send money,Convenience,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Mobile Application
65,18 - 30,Male,Single,Bachelors,Student,Low,Rural area,Yes,No,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not applicable
66,18 - 30,Male,Single,Bachelors,Student,Medium,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Zindagi","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
67,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Urban area,No,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable 
68,18 - 30,Male,Single,Bachelors,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,,Sadapay,"To send money, To receive money, Online shopping, Bill payments",Easy to use,No,Yes,No,No,Yes,"Internet instability or unavailability, Operational constraint",Yes,No,No,Mobile Application
69,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Low,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay, Zindagi","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,"Scam or security reasons, Internet instability or unavailability, Operational constraint, Fear of hidden charges, Cultural preference/ habit",Yes,Yes,Yes,Mobile Application
70,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,No,Yes,Yes,Yes,Jazzcash,"To send money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Scam or security reasons,Yes,Maybe,Maybe,Mobile Application
71,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Medium,Rural area,Yes,Yes,Yes,No,Jazzcash,To send money,Easy to use,No,Yes,No,Yes,No,"Internet instability or unavailability, Lack of knowledge",Maybe,No,Yes,Mobile Application
72,18 - 30,Male,Single,Bachelors,Corporate Sector,High,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Internet instability or unavailability,Yes,No,Yes,Mobile Application
73,18 - 30,Female,Single,Intermediate/ A-Levels,Student,Low,Rural area,Yes,Yes,Yes,Yes,Easypaisa,Recharge or package activation,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
74,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Medium,Rural area,Maybe,No,No,No,Jazzcash,Not Applicable,Easy to use,No,No,No,Yes,No,Lack of knowledge,No,Maybe,No,Without Mobile Application
75,18 - 30,Male,Single,Bachelors,Student,Low,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Mobile Application
76,18 - 30,Female,Single,Bachelors,Government Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,"To send money, Recharge or package activation",Convenience,Yes,Yes,No,No,No,"Scam or security reasons, Internet instability or unavailability, Operational constraint",Maybe,No,Yes,Mobile Application
77,18 - 30,Female,Single,Bachelors,Government Sector,High,Rural area,No,Yes,Yes,Yes,Jazzcash,Recharge or package activation,Convenience,No,No,No,No,Yes,"Scam or security reasons, Internet instability or unavailability, Operational constraint",Yes,No,Yes,Mobile Application
78,18 - 30,Female,Single,Bachelors,Government Sector,High,Urban area,No,Yes,Yes,Yes,Jazzcash,Recharge or package activation,Convenience,No,No,No,No,Yes,"Scam or security reasons, Internet instability or unavailability, Operational constraint, Lack of interest, Fear of hidden charges",Maybe,No,Yes,Mobile Application
79,18 - 30,Female,Single,Masters/ M.Phil,Corporate Sector,Medium,Urban area,Maybe,Yes,No,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Yes,Without Mobile Application
80,18 - 30,Female,Single,PhD,Corporate Sector,High,Urban area,No,Yes,Yes,No,Not applicable,Not Applicable,Not applicable,Yes,Yes,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not Applicable
81,18 - 30,Male,Single,Masters/ M.Phil,Government Sector,High,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash","Online shopping, Bill payments, Recharge or package activation",Convenience,No,No,No,No,No,"Scam or security reasons, Internet instability or unavailability, Operational constraint",Maybe,No,Yes,Mobile Application
82,18 - 30,Male,Single,Intermediate/ A-Levels,Business,Low,Rural area,Yes,No,Yes,Yes,Easypaisa,To send money,Easy to use,No,No,No,Yes,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
83,18 - 30,Male,Single,Bachelors,"Corporate Sector, Student",Medium,Urban area,Maybe,Yes,Yes,Yes,Easypaisa,"To send money, To receive money, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Mobile Application
84,18 - 30,Male,Single,Intermediate/ A-Levels,Business,Low,Rural area,Yes,No,Yes,Yes,Easypaisa,To send money,Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Yes,Yes,Yes,Mobile Application
85,31 - 50,Female,Married,Masters/ M.Phil,Education Sector,High,Urban area,Yes,Yes,Yes,Yes,Not applicable,"To send money, To receive money",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
86,18 - 30,Male,Single,Bachelors,Student,Low,Urban area,Maybe,No,Yes,No,Not applicable,Not Applicable,Not applicable,Yes,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Not Applicable
87,31 - 50,Female,Married,Masters/ M.Phil,Education Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Not applicable,"To send money, To receive money, Online shopping, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,No,Mobile Application
88,18 - 30,Male,Single,Bachelors,Student,Low,Rural area,Maybe,Yes,Yes,Yes,"Jazzcash, Nayapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,No,Scam or security reasons,Maybe,Maybe,Yes,Mobile Application
89,18 - 30,Male,Married,Bachelors,Business,Medium,Urban area,Yes,Yes,Yes,Yes,"Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Recharge or package activation",Easy to use,No,No,No,No,Yes,"Internet instability or unavailability, ",Yes,Yes,No,Mobile Application
90,18 - 30,Female,Single,Intermediate/ A-Levels,Student,Low,Urban area,Yes,No,No,No,Not applicable,Not Applicable,Not applicable,No,No,Yes,No,Not applicable,Not applicable,Not applicable,Not applicable,No,Without Mobile Application
91,18 - 30,Male,Single,Bachelors,Student,Low,Urban area,No,Yes,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Not applicable 
92,18 - 30,Male,Single,Bachelors,Student,Low,Rural area,Maybe,No,Yes,,Easypaisa,"To send money, To receive money",Service quality,No,No,No,No,Not applicable,Scam or security reasons,Maybe,Yes,Yes,Mobile Application
93,18 - 30,Male,Single,Bachelors,"Corporate Sector, Business",Medium,Rural area,No,Yes,Yes,Yes,"Jazzcash, Sadapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Inconvenience,Yes,Yes,Maybe,Mobile Application
94,18 - 30,Male,Single,Bachelors,Business,Medium,Urban area,Yes,Yes,Yes,No,"Easypaisa, Jazzcash","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,Yes,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
95,18 - 30,Male,Single,Bachelors,Student,High,Urban area,Yes,Yes,Yes,Yes,Jazzcash,Online shopping,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
96,18 - 30,Female,Single,Bachelors,Student,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,To receive money,Easy to use,No,No,Yes,No,Yes,Scam or security reasons,Maybe,Maybe,Maybe,Mobile Application
97,18 - 30,Male,Single,Bachelors,Unemployed,Low,Urban area,No,No,Yes,Yes,"Easypaisa, Jazzcash, Sadapay, Nayapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
98,18 - 30,Male,Single,Masters/ M.Phil,Unemployed,Low,Urban area,No,Yes,Yes,Yes,"Jazzcash, Sadapay","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,No,Mobile Application
99,18 - 30,Female,Married,Masters/ M.Phil,Homemaker,Low,Urban area,Yes,No,Yes,Yes,"Easypaisa, Jazzcash","To send money, To receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,Maybe,Mobile Application
100,31 - 50,Male,Married,Bachelors,Government Sector,High,Urban area,No,Yes,Yes,Yes,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,No,Mobile Application
101,31 - 50,Female,Married,Bachelors,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,Yes,"Jazzcash, Mcb live","To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Yes,Mobile Application
102,18 - 30,Female,Single,Intermediate/ A-Levels,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send money, Recharge or package activation",Easy to use,No,No,No,No,Yes,I am satisfied ,Yes,No,Maybe,Mobile Application
103,18 - 30,Male,Single,Bachelors,Student,Low,Urban area,Yes,No,Yes,Yes,Jazzcash,To send money,Easy to use,Yes,No,No,No,Yes,Scam or security reasons,Not applicable,Yes,Yes,Mobile Application
104,31 - 50,Male,Married,Bachelors,Corporate Sector,Medium,Urban area,Yes,Yes,Yes,No,Jazzcash,"To send money, To receive money, Online shopping, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Mobile Application
105,18 - 30,Male,Single,Intermediate/ A-Levels,Student,High,Rural area,Yes,No,Yes,Yes,"Easypaisa, Sadapay","To send money, To receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Yes,Mobile Application
106,18 - 30,Male,Single,Intermediate/ A-Levels,Student,Low,Urban area,No,No,Yes,No,Jazzcash,Not Applicable,Not applicable,Yes,No,No,No,No,Scam or security reasons,No,No,No,Mobile Application
107,18 - 30,Male,Married,Masters/ M.Phil,Business,High,Urban area,Maybe,Yes,Yes,Yes,Jazzcash,Multi-purpose,Convenienvce,No,No,No,No,Yes,Lack of knowledge,Yes,Maybe,Yes,Mobile Application
