Survey ID,Age,Gender,Marital Status,Education,Occupation,Income Range,Area,Cash Over E-Money,Bank Account,Have E-Wallet,Use E-Wallet,E-Wallet Name,E-Wallet Usage Medium,E-Wallet Usage Purpose,E-Wallet Usage Reason,Reason of Non-Usage,User Satisfaction,Reason of Non-Satisfaction,Usage Continuation,Finance Management,General Lack of Trust
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Bill payments,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Bill payments,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Bill payments,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Bill payments,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
4,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Rural area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To send money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To send money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To send money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To receive money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To receive money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,To receive money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Online shopping,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Online shopping,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Online shopping,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Online shopping,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To send money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To send money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To send money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To receive money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To receive money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,To receive money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To send money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To send money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To send money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To receive money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To receive money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,To receive money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Online shopping,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Online shopping,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Online shopping,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Online shopping,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Recharge or package activation,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Recharge or package activation,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Recharge or package activation,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
5,18 - 30,Female,Single,Bachelors,Student,"Less than 30,000",Urban area,Yes,No,Yes,Yes,Sadapay,Mobile Application,Recharge or package activation,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Accessibility,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Service quality,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Accessibility,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Service quality,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Easy to use,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Accessibility,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Easypaisa,Mobile Application,Recharge or package activation,Service quality,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Accessibility,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Service quality,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Accessibility,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Service quality,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Easy to use,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Accessibility,Not applicable,Yes,Not applicable,Yes,No,Yes
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"More than 100,000",Rural area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Service quality,Not applicable,Yes,Not applicable,Yes,No,Yes
7,Above 50,Male,Married,Intermediate/ A-Levels,Government Sector,"30,000 - 100,000",Urban area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
7,Above 50,Male,Married,Intermediate/ A-Levels,Government Sector,"30,000 - 100,000",Urban area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
7,Above 50,Male,Married,Intermediate/ A-Levels,Government Sector,"30,000 - 100,000",Urban area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,Bill payments,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
7,Above 50,Male,Married,Intermediate/ A-Levels,Government Sector,"30,000 - 100,000",Urban area,Yes,Yes,Yes,Yes,Jazzcash,Mobile Application,Recharge or package activation,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,Maybe
8,31 - 50,Female,Single,Masters/ M.Phil,Business/ Corporate Sector,"More than 100,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,No
8,31 - 50,Female,Single,Masters/ M.Phil,Business/ Corporate Sector,"More than 100,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,No
8,31 - 50,Female,Single,Masters/ M.Phil,Business/ Corporate Sector,"More than 100,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,Online shopping,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,No
8,31 - 50,Female,Single,Masters/ M.Phil,Business/ Corporate Sector,"More than 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,No
8,31 - 50,Female,Single,Masters/ M.Phil,Business/ Corporate Sector,"More than 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,No
8,31 - 50,Female,Single,Masters/ M.Phil,Business/ Corporate Sector,"More than 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,No
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Accessibility,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Service quality,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To send money,Convenience,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Accessibility,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Service quality,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,To receive money,Convenience,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Accessibility,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Service quality,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Online shopping,Convenience,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Bill payments,Easy to use,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Bill payments,Accessibility,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Bill payments,Service quality,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
9,18 - 30,Female,Single,Bachelors,Health Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,Yes,Jazzcash,Mobile Application,Bill payments,Convenience,Not applicable,Yes,Not applicable,Yes,Maybe,Maybe
